Date,Open,High,Low,Close,Adj Close,Volume
2020-03-09,38.000000,39.709999,35.160000,35.160000,35.160000,2155800
2020-03-10,39.290001,40.480000,36.590000,40.000000,40.000000,1991900
2020-03-11,37.810001,39.099998,32.610001,35.320000,35.320000,2211100
2020-03-12,28.889999,32.889999,23.500000,31.270000,31.270000,1655000
2020-03-13,36.000000,36.930000,30.500000,33.560001,33.560001,2426800
2020-03-16,27.799999,31.799999,27.459999,27.459999,27.459999,1420100
2020-03-17,28.190001,28.430000,24.309999,27.000000,27.000000,4197400
2020-03-18,25.000000,25.000000,15.700000,18.000000,18.000000,5032100
2020-03-19,15.970000,22.200001,14.730000,20.440001,20.440001,3933800
2020-03-20,23.000000,26.990000,21.049999,22.350000,22.350000,4389300
2020-03-23,22.000000,23.860001,20.000000,21.670000,21.670000,2404900
2020-03-24,23.709999,24.799999,21.700001,23.809999,23.809999,2869200
2020-03-25,23.860001,27.500000,23.299999,26.420000,26.420000,2938400
2020-03-26,26.000000,30.049999,25.540001,29.379999,29.379999,1725800
2020-03-27,28.200001,28.860001,26.299999,26.320000,26.320000,2024100
2020-03-30,26.520000,27.870001,25.709999,26.160000,26.160000,1330700
2020-03-31,26.370001,26.459999,23.330000,24.059999,24.059999,1663000
2020-04-01,22.400000,22.620001,21.000000,21.000000,21.000000,2313200
2020-04-02,21.350000,21.950001,20.049999,21.049999,21.049999,2890000
2020-04-03,21.219999,21.219999,19.000000,19.500000,19.500000,2202300
2020-04-06,21.590000,24.469999,20.860001,23.010000,23.010000,4954700
2020-04-07,25.500000,26.389999,25.000000,25.200001,25.200001,4003700
2020-04-08,25.200001,26.209999,24.709999,25.620001,25.620001,2362000
2020-04-09,26.240000,26.750000,25.250000,25.620001,25.620001,1841100
2020-04-13,25.500000,26.150000,24.500000,24.500000,24.500000,1649700
2020-04-14,25.100000,25.950001,24.680000,25.000000,25.000000,1384100
2020-04-15,24.010000,25.580000,23.500000,24.400000,24.400000,1195900
2020-04-16,25.290001,25.570000,23.760000,23.760000,23.760000,1150400
2020-04-17,24.770000,25.629999,24.240000,25.030001,25.030001,2043800
2020-04-20,24.100000,27.209999,24.049999,26.969999,26.969999,2563500
2020-04-22,27.500000,31.139999,27.490000,30.620001,30.620001,4273300
2020-04-23,32.000000,33.599998,29.040001,29.350000,29.350000,2837200
2020-04-24,28.580000,29.230000,25.900000,27.430000,27.430000,1943600
2020-04-27,28.900000,29.639999,27.450001,28.540001,28.540001,2033000
2020-04-28,29.520000,33.090000,29.260000,32.400002,32.400002,3349000
2020-04-29,33.299999,34.700001,31.680000,33.000000,33.000000,3060300
2020-04-30,32.000000,33.160000,30.980000,31.600000,31.600000,2013400
2020-05-04,29.990000,31.750000,29.200001,31.600000,31.600000,1608500
2020-05-05,32.500000,33.040001,30.020000,30.260000,30.260000,1862000
2020-05-06,30.799999,31.240000,28.639999,29.750000,29.750000,1729700
2020-05-07,31.020000,31.080000,27.730000,27.730000,27.730000,2878900
2020-05-08,28.200001,28.559999,25.440001,25.950001,25.950001,3355200
2020-05-11,25.280001,25.639999,24.379999,25.020000,25.020000,2649400
2020-05-12,25.299999,25.950001,23.330000,23.500000,23.500000,3436100
2020-05-13,23.799999,24.160000,22.350000,23.200001,23.200001,3188300
2020-05-14,22.389999,23.280001,21.870001,23.000000,23.000000,1812500
2020-05-15,22.990000,24.889999,22.770000,24.670000,24.670000,3697100
2020-05-18,25.700001,26.100000,24.010000,25.820000,25.820000,4127300
2020-05-19,25.650000,27.799999,25.120001,27.230000,27.230000,2191300
2020-05-20,27.879999,28.080000,26.190001,26.700001,26.700001,1832900
2020-05-21,26.700001,27.719999,26.340000,26.809999,26.809999,1207900
2020-05-22,26.049999,26.680000,25.299999,25.540001,25.540001,1380900
2020-05-25,26.389999,28.260000,26.240000,27.520000,27.520000,1460500
2020-05-26,28.459999,29.510000,28.120001,28.270000,28.270000,1928700
2020-05-27,28.559999,29.400000,28.340000,29.290001,29.290001,2308700
2020-05-28,28.799999,30.070000,28.139999,29.000000,29.000000,2478400
2020-05-29,28.799999,29.260000,27.660000,29.260000,29.260000,2255700
2020-06-01,28.680000,29.719999,28.549999,28.750000,28.750000,1604400
2020-06-02,29.150000,30.809999,29.059999,30.600000,30.600000,2117500
2020-06-03,31.070000,33.250000,31.070000,32.630001,32.630001,3286900
2020-06-04,32.189999,32.939999,31.129999,31.500000,31.500000,1734000
2020-06-05,33.470001,35.990002,33.020000,35.299999,35.299999,5814400
2020-06-08,35.299999,35.720001,33.330002,34.950001,34.950001,7141600
